id,title,url,type,trustLabel,board,topic,difficulty,learningStyle,whyHelpful,focusArea,estimatedTime,safetySensitive,bestFor,pathTags
uniq-045,SparkFun: Motors Tutorial Hub,https://learn.sparkfun.com/tutorials/tags/motors?page=all,project hub,Curated,Arduino,motors,beginner-plus,written,"A collection of motor tutorials that helps learners choose between servos, DC motors, steppers, and motor drivers.","Motor types, driver boards, current needs, and safety considerations.",Search/resource hub,True,robotics; motors; safety; movement,deep-learning; optimal
uniq-046,Adafruit Motor Selection Guide,https://learn.adafruit.com/adafruit-motor-selection-guide,written guide,Official,Arduino,motor selection,beginner-plus,written,Helps beginners avoid buying the wrong motor by matching motor type to project needs.,"DC motors, servos, steppers, torque, speed, and power basics.",30-60 min,True,robotics; motor choice; safety,deep-learning; optimal
uniq-047,Adafruit All About Stepper Motors,https://learn.adafruit.com/all-about-stepper-motors,written guide,Official,Arduino,stepper motors,intermediate,written,"Useful for learners progressing into precise robot arms, sliders, or automated mechanisms.","Stepper types, drivers, wiring, current limits, and control basics.",45-90 min,True,robot arm; precise motion; automation,deep-learning
uniq-048,SparkFun: I2C Tutorial,https://learn.sparkfun.com/tutorials/i2c/all,written guide,Curated,General Electronics,I2C communication,beginner-plus,written,"Many sensors use I2C, so this helps learners understand SDA/SCL instead of copying wiring blindly.","I2C buses, addresses, pullups, and multi-sensor wiring concepts.",30-60 min,False,sensors; displays; robotics; IoT,deep-learning; optimal
uniq-049,SparkFun: Serial Communication,https://learn.sparkfun.com/tutorials/serial-communication/all,written guide,Curated,General Electronics,serial communication,beginner-plus,written,"Explains serial communication, a key concept for debugging sensors and reading data from boards.","UART, serial monitor, baud rate, and debugging prints.",30-60 min,False,debugging; sensors; beginner coding,deep-learning; optimal
uniq-050,Adafruit: PIR Motion Sensor,https://learn.adafruit.com/pir-passive-infrared-proximity-motion-sensor,written guide,Official,Arduino/ESP32/Pico,motion sensor,beginner,written,Great for room security projects because it explains motion detection in simple terms.,"PIR sensor behavior, wiring, false triggers, and test code.",30-60 min,False,room security; motion alert; beginner sensor,fastest; optimal
uniq-051,Adafruit: DHT Humidity Sensing,https://learn.adafruit.com/dht,written guide,Official,Arduino/ESP32/Pico,temperature humidity sensor,beginner,written,"Useful for smart plant, weather, and room monitoring projects.","Sensor wiring, library setup, readings, and common sensor issues.",30-60 min,False,smart plant; environment monitor; IoT,fastest; optimal
uniq-052,Adafruit: Soil Moisture Sensor,https://learn.adafruit.com/adafruit-stemma-soil-sensor-i2c-capacitive-moisture-sensor,written guide,Official,Arduino/ESP32/Pico,soil moisture sensor,beginner-plus,written,A strong smart-plant resource using capacitive sensing and I2C instead of unreliable cheap probes only.,"I2C wiring, capacitive moisture sensing, plant data collection.",30-60 min,False,smart plant monitor; IoT; sensors,optimal; deep-learning
uniq-053,Google Teachable Machine,https://teachablemachine.withgoogle.com/,tool,Official,Raspberry Pi 5,no-code machine learning,beginner,hands-on,"Lets beginners train image, sound, and pose models without ML expertise, making AI vision less intimidating.",Create a simple image classifier before deploying or coding advanced vision.,20-45 min,False,computer vision; AI beginner; no-code ML,fastest; optimal
uniq-054,Edge Impulse: Getting Started for Beginners,https://docs.edgeimpulse.com/knowledge/guides/getting-started-for-beginners,course,Official,Arduino/ESP32/Pico,TinyML beginners,beginner-plus,written,"Introduces edge machine learning in a beginner-friendly way for sensors, audio, and embedded devices.","Data collection, training, testing, and deploying models to edge hardware.",60-120 min,False,TinyML; sensor AI; future advanced path,deep-learning; optimal
uniq-055,Arm Learning Path: Edge Impulse TinyML Audio Classifier,https://learn.arm.com/learning-paths/embedded-and-microcontrollers/edge/software-edge-impulse/,course,Official,Arduino/ESP32/Pico,TinyML audio classifier,intermediate,hands-on,A practical TinyML workflow that can inspire sound-triggered projects after basics are learned.,"Collect audio, train a model, deploy to embedded hardware.",90-180 min,False,TinyML; sound detection; advanced IoT,deep-learning
uniq-056,Google AI Edge: Get Started with Microcontrollers,https://developers.google.com/edge/litert/microcontrollers/get_started,official docs,Official,Arduino/ESP32/Pico,LiteRT Microcontrollers,advanced,written,A future-path resource for advanced learners who want to understand ML inference on microcontrollers.,"Train a tiny model, run inference, and understand the microcontroller ML workflow.",90-180 min,False,TinyML; advanced path; microcontrollers,deep-learning
uniq-057,Arduino: Get Started with Machine Learning,https://docs.arduino.cc/tutorials/nano-33-ble-sense/get-started-with-machine-learning/,official docs,Official,Arduino,machine learning on Arduino,intermediate,hands-on,Shows how Arduino learners can begin with TensorFlow Lite Micro examples on compatible hardware.,"Install examples, run ML demos, and understand what an Arduino ML board can do.",60-120 min,False,Arduino ML; TinyML; future path,deep-learning
uniq-058,TensorFlow Lite Micro Arduino Examples,https://github.com/tensorflow/tflite-micro-arduino-examples,code repo,Official,Arduino,TFLite Micro examples,advanced,hands-on,Provides example code for running TensorFlow Lite Micro on Arduino-compatible boards after fundamentals are complete.,"Code examples, installation, compatibility, and tiny ML demos.",Reference,False,advanced learners; Arduino ML; TinyML,deep-learning
uniq-059,OpenMV Cam Tutorial,https://docs.openmv.io/openmvcam/tutorial/,official docs,Official,OpenMV,embedded computer vision,intermediate,written,A unique camera-focused path where learners program embedded machine vision in MicroPython.,"Camera setup, scripts, image processing, AI tools, networking, and deployment.",1-3 hours,False,computer vision robotics; Python; advanced camera path,deep-learning; optimal
uniq-060,DigiKey: Getting Started with OpenMV Camera,https://www.digikey.com/en/maker/projects/getting-started-with-the-openmv-camera-machine-vision-with-micropython/0981228ef29c42698b73597a92b003a5,written guide,Curated,OpenMV,OpenMV MicroPython vision,intermediate,hands-on,"A practical OpenMV walkthrough that connects MicroPython, camera setup, and simple machine vision tasks.","Set up OpenMV, run MicroPython scripts, and identify simple figures.",60-120 min,False,computer vision; MicroPython; robotics camera,optimal; deep-learning
uniq-061,Roboflow + Raspberry Pi Integration,https://roboflow.com/integration/raspberry-pi,written guide,Curated,Raspberry Pi 5,deploy computer vision model,intermediate,written,Shows a modern path for deploying custom computer vision models on Raspberry Pi after camera basics.,"Deploy CV model to Pi using Roboflow Inference, edge vision workflow.",60-120 min,False,computer vision robot; Raspberry Pi; object detection,deep-learning; optimal
uniq-063,Webots Robot Simulator,https://cyberbotics.com/,simulator,Official,Robotics Simulation,robot simulator,intermediate,hands-on,A free/open-source robot simulator that lets learners practice robot behavior before building expensive hardware.,"Model, program, and simulate robots with sensors and actuators.",60-120 min,False,robotics; no hardware; simulation; advanced path,deep-learning; lowest-cost
uniq-064,Webots GitHub Repository,https://github.com/cyberbotics/webots,code repo,Official,Robotics Simulation,robot simulation examples,intermediate,hands-on,Shows Webots source/examples and reinforces that the simulation ecosystem is open-source.,"Use for examples, installation, and deeper simulator exploration.",Reference,False,robotics simulation; advanced learners,deep-learning
uniq-065,VEXcode VR,https://www.vexrobotics.com/vexcode/vr,simulator,Official,Robotics Simulation,virtual robot coding,beginner,hands-on,A beginner-friendly virtual robot platform for learners who want robotics logic without hardware cost.,"Drive, sensors, GPS, object pickup, and programming challenge worlds.",20-60 min,False,robotics beginner; no hardware; block coding,lowest-cost; fastest
uniq-066,VEXcode VR Getting Started Lesson,https://education.vex.com/stemlabs/cs/cs-level-1-vexcode-vr-blocks/introduction-and-fundamentals/lesson-1-getting-started-with-vexcode-vr,course,Official,Robotics Simulation,virtual robotics lesson,beginner,mixed,"Guided lesson for starting virtual robotics, useful for absolute beginners before physical motors.","VEXcode VR interface, tutorial videos, and first virtual robot tasks.",30-60 min,False,robotics beginner; no hardware; classroom learner,lowest-cost; fastest
uniq-067,ROS 2 Tutorials Official,https://docs.ros.org/en/rolling/Tutorials.html,official docs,Official,ROS 2,robotics software framework,advanced,written,"A future-track resource for serious robotics learners after they understand sensors, movement, Linux, and Python.","Nodes, topics, services, actions, simulation, and ROS 2 tools.",Reference,False,advanced robotics; computer vision robot; future path,deep-learning
uniq-068,Gazebo Tutorials,https://classic.gazebosim.org/tutorials,official docs,Official,Robotics Simulation,Gazebo simulation,advanced,written,Provides robot simulation tutorials for advanced learners moving toward ROS/Gazebo workflows.,"Build robots, model worlds, sensors, and simulation concepts.",Reference,False,advanced robotics; simulation; ROS path,deep-learning
uniq-069,Gazebo: Building Your Own Robot,https://gazebosim.org/docs/latest/building_robot/,official docs,Official,Robotics Simulation,build robot simulation,advanced,hands-on,A concrete advanced tutorial for building a simple two-wheeled robot model in simulation.,"SDF model, robot structure, wheels, and simulation workflow.",60-120 min,False,advanced robotics; simulation; robot movement,deep-learning
uniq-070,Raspberry Pi Pico Datasheet,https://datasheets.raspberrypi.com/pico/pico-datasheet.pdf,datasheet explanation,Official,Raspberry Pi Pico W,datasheet reference,intermediate,written,Useful when learners start asking pin/power questions and need official board specifications.,"Pinout, power, GPIO, reset, USB, and hardware limits.",Reference,True,Pico W; safety; pinout; power,deep-learning
uniq-071,Raspberry Pi Pico W Datasheet,https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf,datasheet explanation,Official,Raspberry Pi Pico W,wireless datasheet,intermediate,written,"Official details for Pico W hardware and wireless features, useful for Wi-Fi projects.","Pinout, power, wireless chip, and hardware constraints.",Reference,True,Pico W; IoT; safety; Wi-Fi,deep-learning
uniq-072,ESP32 Datasheet,https://www.espressif.com/sites/default/files/documentation/esp32_datasheet_en.pdf,datasheet explanation,Official,ESP32,datasheet reference,advanced,written,Official electrical and feature reference for advanced learners who need safe limits and hardware capabilities.,"Power, GPIO, ADC, wireless features, and electrical characteristics.",Reference,True,ESP32; advanced; safety; pin limits,deep-learning
uniq-073,YouTube Search: OpenMV Beginner Robot Vision,https://www.youtube.com/results?search_query=OpenMV+camera+robot+vision+beginner+MicroPython+tutorial,video search,Suggested Search,OpenMV,OpenMV robot vision videos,intermediate,video,Generated video search for learners who want a camera path between Pico-style MicroPython and full Raspberry Pi vision.,"Look for OpenMV wiring, first scripts, object tracking, and robot use cases.",Search,False,computer vision; video learner; OpenMV,fastest; optimal
uniq-074,YouTube Search: ESPHome Beginner ESP32 Sensor,https://www.youtube.com/results?search_query=ESPHome+ESP32+sensor+beginner+Home+Assistant+tutorial,video search,Suggested Search,ESP32,ESPHome videos,beginner-plus,video,Generated video search for learners who prefer video and want smart-home sensor dashboards.,"Look for ESPHome setup, sensor YAML, Home Assistant dashboard, and safe wiring.",Search,True,home automation; ESP32; video learner,fastest; optimal
uniq-075,YouTube Search: Teachable Machine Raspberry Pi Camera,https://www.youtube.com/results?search_query=Google+Teachable+Machine+Raspberry+Pi+camera+beginner+computer+vision+tutorial,video search,Suggested Search,Raspberry Pi 5,Teachable Machine videos,beginner-plus,video,Generated video search for fast beginner AI vision demos before OpenCV/Jetson.,"Look for training image classes, exporting models, and connecting results to a project.",Search,False,computer vision; video learner; fastest path,fastest; optimal
uniq-076,YouTube Search: Webots Beginner Robot Simulation,https://www.youtube.com/results?search_query=Webots+beginner+robot+simulation+Python+tutorial,video search,Suggested Search,Robotics Simulation,Webots videos,intermediate,video,Generated video search for robotics learners who need simulation before expensive hardware.,"Look for robot drive, sensors, controller scripts, and obstacle avoidance.",Search,False,robotics simulation; video learner,deep-learning; lowest-cost
uniq-077,YouTube Search: ntfy ESP32 Push Notification,https://www.youtube.com/results?search_query=ESP32+ntfy+push+notification+sensor+beginner+tutorial,video search,Suggested Search,ESP32,ntfy videos,beginner-plus,video,Generated video search for room alerts and smart sensor projects using simple phone notifications.,"Look for HTTP POST examples, mobile app subscription, and sensor trigger logic.",Search,False,room security; phone alert; video learner,fastest; lowest-cost
uniq-078,YouTube Search: Pico W Web Server Sensor Dashboard,https://www.youtube.com/results?search_query=Raspberry+Pi+Pico+W+sensor+web+server+dashboard+beginner+tutorial,video search,Suggested Search,Raspberry Pi Pico W,Pico W web server videos,beginner-plus,video,Generated video search for learners who want a Pico W dashboard or phone-accessible project.,"Look for MicroPython web server, sensor readings, and local network dashboard.",Search,False,Pico W; IoT; dashboard; video learner,fastest; optimal
mega-001,All About Circuits: DC Circuit Theory Textbook,https://www.allaboutcircuits.com/textbook/direct-current/,written guide,Curated,General Electronics,dc circuits voltage current resistance,beginner-plus,written,A deeper free textbook for learners who want to understand what is happening inside basic circuits.,"Voltage, current, resistance, series/parallel circuits, and why parts can overheat.",45-90 min,True,deep learning; electronics fundamentals; safety,deep-learning; optimal
mega-002,Khan Academy: Electrical Engineering,https://www.khanacademy.org/science/electrical-engineering,course,Curated,General Electronics,electronics fundamentals,beginner,video/written,Free conceptual lessons that explain circuits visually before a learner touches hardware.,"Circuit intuition, Ohm’s Law, components, and signals.",1-3 hrs,False,no hardware yet; deep learning; absolute beginner,deep-learning; lowest-cost
mega-004,Falstad Circuit Simulator,https://www.falstad.com/circuit/,simulator,Curated,General Electronics,circuit simulation,beginner-plus,simulator,"A fast interactive circuit simulator for visualizing current flow, capacitors, filters, and simple circuits.",Use it to test LED/resistor ideas and visualize current before building.,20-60 min,False,no hardware yet; deep learning,lowest-cost; deep-learning
mega-006,Wokwi Simulator Docs,https://docs.wokwi.com/,simulator,Curated,Arduino ESP32 Raspberry Pi Pico W,microcontroller simulation,beginner,simulator,"Supports browser simulation for Arduino, ESP32, Pico, sensors, displays, and many common parts.",Simulate the project before buying parts or wiring hardware.,20-60 min,False,no hardware yet; IoT; robotics; Pico W; ESP32,lowest-cost; fastest; optimal
mega-007,Wokwi Arduino Uno Simulator Reference,https://docs.wokwi.com/parts/wokwi-arduino-uno,simulator,Curated,Arduino,arduino simulation,beginner,simulator,Helps learners simulate Arduino Uno pin wiring and test code without risk.,"Pin names, supported parts, and how to run code in Wokwi.",15-30 min,False,Arduino beginner; no hardware yet,lowest-cost; fastest
mega-008,Wokwi ESP32 Simulator Reference,https://docs.wokwi.com/parts/wokwi-esp32-devkit-v1,simulator,Curated,ESP32,esp32 simulation,beginner,simulator,Lets IoT learners test ESP32 logic and peripherals before wiring a real board.,"ESP32 pins, Wi-Fi style projects, and simulated components.",15-30 min,False,ESP32; IoT; no hardware yet,lowest-cost; fastest
mega-009,Wokwi Raspberry Pi Pico Simulator Reference,https://docs.wokwi.com/parts/wokwi-pi-pico,simulator,Curated,Raspberry Pi Pico W,pico simulation,beginner,simulator,Lets Pico learners test MicroPython/CircuitPython-like projects before wiring.,"Pico pinout, simulated components, and safe testing.",15-30 min,False,Pico W; no hardware yet,lowest-cost; fastest
mega-010,KiCad Getting Started,https://docs.kicad.org/8.0/en/getting_started_in_kicad/getting_started_in_kicad.html,official docs,Official,PCB Design,pcb design,intermediate,written,A free professional PCB design path for learners who outgrow breadboards and want to make custom boards.,"Schematics, footprints, PCB layout, and exporting files.",1-3 hrs,True,advanced electronics; deep learning; future product,deep-learning
mega-011,DigiKey Scheme-it,https://www.digikey.com/en/resources/design-tools/scheme-it,tool,Curated,General Electronics,schematic drawing,beginner-plus,hands-on,Free browser tool for drawing circuit diagrams before building.,Create neat schematics for mentor review and project documentation.,20-40 min,False,documentation; mentor handoff; safety review,optimal; deep-learning
mega-012,Arduino Documentation Home,https://docs.arduino.cc/,official docs,Official,Arduino,arduino documentation,beginner,written,"Official Arduino learning hub for tutorials, boards, libraries, and examples.",Use official explanations before following random tutorials.,15-30 min,False,Arduino; robotics; general electronics,optimal; deep-learning
mega-013,Arduino Tutorials Library,https://docs.arduino.cc/tutorials/,official docs,Official,Arduino,arduino tutorials,beginner,written,Official tutorial catalog covering beginner to advanced Arduino projects.,Find board-specific tutorials and official examples.,20-60 min,False,Arduino; hands-on,optimal; deep-learning
mega-014,Arduino Built-in Examples,https://docs.arduino.cc/built-in-examples/,official docs,Official,Arduino,arduino examples,beginner,written,"Official examples such as Blink, Button, AnalogRead, Fade, and Servo are perfect for skill ladders.",Use one example per roadmap step to build confidence.,20-90 min,False,Arduino beginner; robotics basics,fastest; optimal; deep-learning
mega-015,Arduino Blink Example,https://docs.arduino.cc/built-in-examples/basics/Blink/,official docs,Official,Arduino,led blink,beginner,written,The classic first Arduino output project for learning code upload and pin control.,"Upload code, set pinMode, use digitalWrite, understand delays.",15-25 min,False,first project; Arduino,fastest; optimal
mega-016,Arduino Digital Read Serial Example,https://docs.arduino.cc/built-in-examples/basics/DigitalReadSerial/,official docs,Official,Arduino,button input,beginner,written,"Teaches reading button/switch input, a key step before sensors and robot decisions.","digitalRead, input pins, serial monitor feedback.",20-30 min,False,buttons; input; robotics,optimal; deep-learning
mega-017,Arduino Analog Read Serial Example,https://docs.arduino.cc/built-in-examples/basics/AnalogReadSerial/,official docs,Official,Arduino,analog input,beginner,written,Teaches analog sensor reading using a simple official example.,"Analog values, serial monitor, sensor range.",20-30 min,False,sensors; Arduino,optimal; deep-learning
mega-018,Arduino Fade PWM Example,https://docs.arduino.cc/built-in-examples/basics/Fade/,official docs,Official,Arduino,pwm output,beginner,written,"Introduces PWM, which later helps with LEDs, motor speed, and servo-style control.","analogWrite, PWM pins, brightness/speed control idea.",20-30 min,False,motors; LED; robotics,optimal; deep-learning
mega-019,Arduino Button Example,https://docs.arduino.cc/built-in-examples/digital/Button/,official docs,Official,Arduino,button circuit,beginner,written,Shows how to wire and read a button to control an output safely.,"Pull-up/pull-down idea, button input, LED output.",20-35 min,False,buttons; control logic,fastest; optimal
mega-020,Arduino Debounce Example,https://docs.arduino.cc/built-in-examples/digital/Debounce/,official docs,Official,Arduino,button debounce,beginner-plus,written,Teaches a real-world issue beginners often miss: switches can flicker in software.,Debouncing logic and reliable inputs.,20-40 min,False,robotics controls; deep learning,deep-learning; optimal
mega-021,Arduino State Change Detection,https://docs.arduino.cc/built-in-examples/digital/StateChangeDetection/,official docs,Official,Arduino,state detection,beginner-plus,written,Useful for robots and IoT devices that need to react once instead of repeatedly.,Tracking previous state vs current state.,20-40 min,False,robotics logic; IoT alerts,deep-learning; optimal
mega-022,Arduino Servo Library Reference,https://docs.arduino.cc/libraries/servo/,official docs,Official,Arduino,servo motor,beginner-plus,written,Official Servo library reference for learning servo control correctly.,"Servo attach/write, angle limits, and timing.",20-35 min,True,servo; robotics,optimal; deep-learning
mega-023,Arduino Wire I2C Reference,https://docs.arduino.cc/language-reference/en/functions/communication/wire/,official docs,Official,Arduino,i2c communication,intermediate,written,"Helpful when the roadmap reaches OLEDs, IMUs, ToF sensors, or sensor modules using I2C.","I2C addresses, SDA/SCL, library use.",30-45 min,False,sensors; displays; advanced IoT,deep-learning; optimal
mega-025,Paul McWhorter Arduino Lesson Playlist,https://www.youtube.com/playlist?list=PLGs0VKk2DiYylFUUMMv9WiL3x3tpscDUQ,video,Curated,Arduino,arduino beginner course,beginner,video,A long free Arduino lesson sequence often used by beginners for structured learning.,"Start from blink, circuits, code, sensors, and gradually build up.",Multi-hour course,False,video learners; Arduino beginner,deep-learning; optimal
mega-026,Raspberry Pi Pico Getting Started Project,https://projects.raspberrypi.org/en/projects/getting-started-with-the-pico,official docs,Official,Raspberry Pi Pico W,pico getting started,beginner,written,Official beginner path for connecting a Pico and blinking the onboard LED with MicroPython.,"Install tools, flash MicroPython, run first code.",30-45 min,False,Pico W beginner; MicroPython,fastest; optimal
mega-027,Raspberry Pi Pico MicroPython Documentation,https://www.raspberrypi.com/documentation/microcontrollers/micropython.html,official docs,Official,Raspberry Pi Pico W,micropython setup,beginner,written,Official setup guide for MicroPython on Pico and Pico W.,"Flashing MicroPython, connecting, and using Wi-Fi/Bluetooth notes.",30-60 min,False,Pico W; MicroPython,optimal; deep-learning
mega-028,Raspberry Pi Pico W: Connecting to the Internet,https://www.raspberrypi.com/documentation/microcontrollers/micropython.html#connecting-to-the-internet-with-raspberry-pi-pico-w,official docs,Official,Raspberry Pi Pico W,wifi internet,beginner-plus,written,"Useful for phone alerts, web requests, and IoT projects using Pico W.",Wi-Fi connection basics and network code patterns.,30-50 min,False,IoT; phone alerts; Pico W,optimal; deep-learning
mega-029,Raspberry Pi Physical Computing with Python,https://projects.raspberrypi.org/en/collections/physical-computing,official docs,Official,Raspberry Pi,physical computing,beginner,hands-on,Official collection of hands-on projects using GPIO and sensors.,"Inputs, outputs, sensors, and physical computing skills.",1-3 hrs,False,Raspberry Pi; physical computing,optimal; deep-learning
mega-030,MicroPython ESP32 Tutorial Intro,https://docs.micropython.org/en/latest/esp32/tutorial/intro.html,official docs,Official,ESP32,micropython esp32,beginner-plus,written,Official MicroPython tutorial for ESP32 learners who prefer Python over Arduino C++.,"Set up MicroPython, prompt, WebREPL, and network basics.",45-90 min,False,ESP32; MicroPython; IoT,optimal; deep-learning
mega-031,MicroPython Library Reference,https://docs.micropython.org/en/latest/library/index.html,official docs,Official,MicroPython,micropython libraries,intermediate,written,"Useful when the learner needs timers, networking, machine pins, or sensor code.","Find the correct module for pins, time, networking, and hardware APIs.",Reference,False,MicroPython; advanced beginner,deep-learning; optimal
mega-032,Adafruit Welcome to CircuitPython,https://learn.adafruit.com/welcome-to-circuitpython/overview,written guide,Curated,CircuitPython,circuitpython setup,beginner,written,Very friendly guide for Python-style microcontroller programming.,"Install CircuitPython, edit code.py, use libraries.",45-75 min,False,Python beginner; Pico W; Adafruit boards,optimal; deep-learning
mega-033,CircuitPython Essentials,https://learn.adafruit.com/circuitpython-essentials,written guide,Curated,CircuitPython,circuitpython essentials,beginner,written,Covers the basic building blocks of CircuitPython projects step by step.,"Digital IO, analog IO, PWM, I2C, SPI, and libraries.",1-2 hrs,False,Python hardware; deep learning,deep-learning; optimal
mega-034,CircuitPython Digital In & Out,https://learn.adafruit.com/circuitpython-essentials/circuitpython-digital-in-out,written guide,Curated,CircuitPython,digital input output,beginner,written,Teaches essential pin input/output in Python-like syntax.,"LEDs, buttons, digital signals, and code.py loop structure.",20-40 min,False,buttons; LEDs; Python beginner,fastest; optimal
mega-035,CircuitPython Analog In,https://learn.adafruit.com/circuitpython-essentials/circuitpython-analog-in,written guide,Curated,CircuitPython,analog input,beginner,written,"Useful for soil moisture sensors, potentiometers, and basic analog sensor reading.","Analog values, sensor ranges, calibration idea.",20-35 min,False,smart plant; sensors,optimal; deep-learning
mega-036,CircuitPython Servo Essentials,https://learn.adafruit.com/circuitpython-essentials/circuitpython-servo,written guide,Curated,CircuitPython,servo motor,beginner-plus,written,A clear Python-based route for controlling servos.,"PWM, servo angle, calibration, and power caution.",20-40 min,True,servo; robotics; Pico W,optimal; deep-learning
mega-037,Adafruit Motor Library Documentation,https://docs.circuitpython.org/projects/motor,official docs,Official,CircuitPython,motor library,intermediate,written,Reference for controlling motors/servos in CircuitPython projects.,"PWM motor objects, servos, continuous servos.",Reference,True,motors; robotics; CircuitPython,deep-learning; optimal
mega-038,BBC micro:bit MakeCode,https://makecode.microbit.org/,official docs,Official,micro:bit,block coding,beginner,hands-on,Great for absolute beginners who need a block-code bridge before microcontroller code.,"Inputs, LEDs, sensors, radio, and beginner logic.",30-90 min,False,absolute beginner; block coding,lowest-cost; fastest
mega-039,micro:bit Python Editor,https://python.microbit.org/v/3,official tool,Official,micro:bit,python microbit,beginner,hands-on,A gentle way to move from block coding into Python for hardware.,"Write Python that controls LEDs, buttons, and sensors.",30-60 min,False,Python beginner; hardware transition,optimal; deep-learning
mega-040,micro:bit Projects,https://microbit.org/projects/,project library,Official,micro:bit,project ideas,beginner,hands-on,"Beginner-friendly project catalog for sensors, wearables, and simple robotics ideas.",Pick simple projects before moving to Arduino/Pico/ESP32.,Browse,False,absolute beginner; project ideas,fastest; lowest-cost
mega-041,Espressif ESP32 Get Started,https://docs.espressif.com/projects/esp-idf/en/stable/esp32/get-started/index.html,official docs,Official,ESP32,esp32 setup,beginner-plus,written,Official ESP-IDF setup for learners who want the professional ESP32 development path.,"Toolchain setup, first project, flashing, monitor.",1-2 hrs,False,ESP32; advanced IoT,deep-learning
mega-042,Arduino-ESP32 Documentation,https://docs.espressif.com/projects/arduino-esp32/en/latest/,official docs,Official,ESP32,arduino esp32,beginner-plus,written,Official docs for using ESP32 with the Arduino ecosystem.,"Board package setup, examples, Wi-Fi, BLE, and pins.",45-90 min,False,ESP32; IoT; Arduino style,optimal; deep-learning
mega-043,ESP32 Arduino Core Wi-Fi Examples,https://docs.espressif.com/projects/arduino-esp32/en/latest/api/wifi.html,official docs,Official,ESP32,wifi,beginner-plus,written,"Useful for smart devices, phone alerts, dashboards, and IoT projects.","Wi-Fi station mode, connection checks, basic network patterns.",30-50 min,False,IoT; ESP32; phone alerts,optimal; fastest
mega-044,Adafruit IO MQTT Guide,https://learn.adafruit.com/mqtt-adafruit-io-and-you,written guide,Curated,ESP32,mqtt cloud dashboard,beginner-plus,written,Explains MQTT and Adafruit IO in beginner-friendly terms for IoT dashboards.,"Publish/subscribe idea, feeds, dashboards, and device messages.",45-90 min,False,IoT dashboard; smart plant; room alert,optimal; deep-learning
mega-045,HiveMQ MQTT Essentials,https://www.hivemq.com/mqtt-essentials/,course,Curated,IoT,mqtt,beginner-plus,written,Clear free MQTT concept series for understanding device-to-cloud messaging.,"Topics, brokers, clients, publish/subscribe, and QoS basics.",1-2 hrs,False,IoT; deep learning,deep-learning
mega-046,Node-RED Getting Started,https://nodered.org/docs/getting-started/,official docs,Official,IoT,node-red dashboard,beginner-plus,written,A visual workflow tool for dashboards and automations after sensor data is available.,"Flows, nodes, dashboards, and MQTT/HTTP integrations.",45-90 min,False,IoT dashboard; home automation,optimal; deep-learning
mega-048,Home Assistant Getting Started,https://www.home-assistant.io/getting-started/,official docs,Official,Smart Home,home assistant,beginner-plus,written,Helps learners turn sensor projects into home automations and dashboards.,"Devices, automations, dashboards, and integrations.",1-2 hrs,False,home automation; smart home,optimal; deep-learning
mega-049,ThingSpeak Documentation,https://www.mathworks.com/help/thingspeak/,official docs,Official,IoT,thingspeak dashboard,beginner-plus,written,Useful free-ish educational path for logging sensor data and plotting charts.,"Send data to channels, visualize time series, and monitor sensors.",45-90 min,False,smart plant; sensor dashboard; IoT,optimal; lowest-cost
mega-050,ntfy Push Notifications Docs,https://docs.ntfy.sh/,official docs,Official,IoT,phone notifications,beginner,written,A simple open-source way to send phone/web push notifications from HTTP requests.,Publish messages over HTTP and receive alerts on phone or browser.,20-45 min,False,room security; phone alerts; IoT,fastest; lowest-cost; optimal
mega-051,Telegram Bot API,https://core.telegram.org/bots/api,official docs,Official,IoT,telegram notifications,intermediate,written,Official reference for sending Telegram messages from projects.,"Bot tokens, sendMessage endpoint, chat IDs, and API safety.",30-60 min,True,room security; phone alerts,optimal; deep-learning
mega-052,Random Nerd Tutorials ESP32 Web Server,https://randomnerdtutorials.com/esp32-web-server-arduino-ide/,written guide,Curated,ESP32,web server,beginner-plus,written,Practical guide for building a simple ESP32 web dashboard.,"ESP32 Wi-Fi, web pages, reading pins/sensors.",45-90 min,False,IoT dashboard; ESP32,fastest; optimal
mega-053,Random Nerd Tutorials ESP32 Telegram Bot,https://randomnerdtutorials.com/telegram-esp32-motion-detection-arduino/,written guide,Curated,ESP32,telegram motion alert,beginner-plus,written,Directly supports room-security style motion alerts using ESP32 and Telegram.,"Bot setup, PIR sensor, message sending, and safety/privacy notes.",45-90 min,True,room security; phone alert,fastest; optimal
mega-054,Random Nerd Tutorials ESP32-CAM Video Streaming,https://randomnerdtutorials.com/esp32-cam-video-streaming-web-server-camera-home-assistant/,written guide,Curated,ESP32-CAM,camera streaming,intermediate,written,A budget path for camera-based monitoring before Raspberry Pi/Jetson vision.,"ESP32-CAM setup, streaming, limitations, and basic camera projects.",1-2 hrs,True,camera; security; computer vision intro,lowest-cost; fastest
mega-055,Blynk Documentation,https://docs.blynk.io/,official docs,Official,IoT,mobile app dashboard,beginner-plus,written,Useful for beginners who want a mobile app dashboard without building one from scratch.,"Device templates, data streams, mobile dashboard, events.",45-90 min,False,IoT dashboard; phone app,fastest; optimal
